127.0.0.1 - - [05/Aug/2020:17:24:20 -0500] "GET / HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [05/Aug/2020:17:25:10 -0500] "GET /rebelviz/listinterestblocks.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2020:17:25:10 -0500] "GET /rebelviz/angular/appopers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2020:17:25:10 -0500] "GET /rebelviz/images/openicon.png HTTP/1.1" 200 45089
0:0:0:0:0:0:0:1 - - [05/Aug/2020:17:25:10 -0500] "GET /rebelviz/images/editicon.png HTTP/1.1" 200 43952
0:0:0:0:0:0:0:1 - - [05/Aug/2020:17:25:10 -0500] "GET /rebelviz/images/linkicon.png HTTP/1.1" 200 44105
0:0:0:0:0:0:0:1 - - [05/Aug/2020:17:25:10 -0500] "GET /rebelviz/images/deleteicon.png HTTP/1.1" 200 44833
0:0:0:0:0:0:0:1 - - [05/Aug/2020:17:25:16 -0500] "GET /rebelapi/rest/rebel/listprojects HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [05/Aug/2020:17:25:19 -0500] "GET /rebelapi/rest/rebel/listprojects HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [05/Aug/2020:17:25:22 -0500] "GET /rebelapi/rest/rebel/listmodels/First%20Project HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [05/Aug/2020:17:25:24 -0500] "GET /rebelapi/rest/rebel/listelements/p=First%20Project HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [05/Aug/2020:17:25:25 -0500] "GET /rebelapi/rest/rebel/getmodel/First%20Project&BibliotecaV1.xml HTTP/1.1" 200 1296
0:0:0:0:0:0:0:1 - - [05/Aug/2020:17:31:49 -0500] "GET /rebelapi/rest/rebel/createboi/p=First%20Project&boi=Fifth%20BOI&nm=MaterialReturn&nm=MaterialLoan&nn=connLtoR HTTP/1.1" 200 12
